symbol,entry_date,entry_price,grade,current_price,stop_loss,trailing_stop,pnl_pct,days_held,status,exit_date,exit_price,max_runup_pct,max_drawdown_pct,outcome_type,holding_efficiency_pct,time_to_failure_days,time_to_failure_min
MIDWESTLTD,2025-11-14,1160.0,C,1126.699951171875,1020.8,1020.8,-6.465517241379311,115,CLOSED,2026-03-09,1085.0,0.0,0.0,,,,
ENRIN,2026-03-02,2985.0,LISTING_BREAKOUT,2790.0,2746.2,2746.2,-9.715242881072026,21,CLOSED,2026-03-23,2695.0,0.0,0.0,,,,
SHADOWFAX,2026-03-02,120.04,LISTING_BREAKOUT,114.79000091552734,110.44,110.44,-6.064643338695049,9,CLOSED,2026-03-11,112.76000213623048,0.0,0.0,,,,
JSLL,2026-03-02,603.7,LISTING_BREAKOUT,598.7000122070312,555.4,555.4,-8.588707042249883,25,CLOSED,2026-03-27,551.8499755859375,0.0,0.0,,,,
EBGNG,2026-03-02,366.5,LISTING_BREAKOUT,349.3500061035156,337.18,337.18,-7.298772169167804,7,CLOSED,2026-03-09,339.75,0.0,0.0,,,,
ADVAIT,2026-03-02,1610.0,LISTING_BREAKOUT,1552.0,1481.2,1481.2,-5.068321464965062,2,CLOSED,2026-03-04,1528.4000244140625,0.0,0.0,,,,
MWL,2026-03-02,269.05,LISTING_BREAKOUT,259.0,247.53,247.53,-5.222077680728493,7,CLOSED,2026-03-09,255.0,0.0,0.0,,,,
BUILDPRO,2026-03-02,912.3,LISTING_BREAKOUT,1106.05,839.32,839.32,21.23753151375644,48,ACTIVE,,,22.52548503781651,0.0,,,,
RNBDENIMS,2026-03-09,132.19,LISTING_BREAKOUT,125.58999633789062,121.61,121.61,-9.735986311502971,2,CLOSED,2026-03-11,119.31999969482422,0.0,0.0,,,,
VIDYAWIRES,2026-03-12,58.73,LISTING_BREAKOUT,56.08000183105469,54.03,54.03,-9.228671252697056,1,CLOSED,2026-03-13,53.310001373291016,0.0,0.0,,,,
AMAGI,2026-03-13,364.7,LISTING_BREAKOUT,351.8500061035156,335.52,335.52,-5.895253027959622,6,CLOSED,2026-03-19,343.20001220703125,0.0,0.0,,,,
GUJTHEM,2026-03-13,278.0,LISTING_BREAKOUT,273.5,255.76,255.76,-6.420865504861735,10,CLOSED,2026-03-23,260.1499938964844,0.0,0.0,,,,
AGARWALEYE,2026-03-16,418.15,LISTING_BREAKOUT,444.05,384.7,384.7,6.193949539638894,34,ACTIVE,,,7.007054884610789,0.0,,,,
GCSL,2026-03-17,339.0,LISTING_BREAKOUT,326.0,311.88,311.88,-7.448377581120943,5,CLOSED,2026-03-22,313.75,0.0,0.0,,,,
OMNI,2026-03-18,226.18,LISTING_BREAKOUT,335.6499938964844,208.09,208.09,48.3995021206492,32,ACTIVE,,,51.95419685268647,0.0,,,,
EMMVEE,2026-03-18,227.8,LISTING_BREAKOUT,265.54,209.58,209.58,16.56716417910448,32,ACTIVE,,,16.56716417910448,0.0,,,,
GAUDIUMIVF,2026-03-18,87.9,LISTING_BREAKOUT,95.8000030517578,80.87,80.87,-9.124007675292418,1,CLOSED,2026-03-19,79.87999725341797,0.0,0.0,,,,
KOTYARK,2026-03-20,369.05,LISTING_BREAKOUT,360.8999938964844,339.53,339.53,-2.208374503052604,30,ACTIVE,,,0.0,-4.931579432728461,,,,
SGFIN,2026-03-25,430.0,C,513.65,378.4,378.4,19.453488372093016,25,ACTIVE,,,20.162790697674428,0.0,,,,
AEPL,2026-04-09,19.1,LISTING_BREAKOUT,19.0,17.57,17.57,-0.5235602094240912,10,ACTIVE,,,1.7277502888784282,-0.7329890865306029,,,,
SAATVIKGL,2026-04-13,464.0,C,471.15,408.32,408.32,1.540948275862064,6,ACTIVE,,,1.8103448275862013,0.0,,,,
STLNETWORK,2026-04-16,25.15,C,25.15,22.13,22.13,0.0,3,ACTIVE,,,0.0,0.0,,,,
