ipo_symbol,upstox_symbol,name,instrument_key,match_type
ARISINFRA,ARISINFRA,ARISINFRA SOLUTIONS LTD,NSE_EQ|INE0H9P01028,exact
EPACKPEB,EPACKPEB,EPACK PREFAB TECHN LTD,NSE_EQ|INE0MLS01022,exact
DBEIL,DBEIL,DEEPAK BUILDERS & ENG I L,NSE_EQ|INE0OPA01019,exact
ANUHPHR,ANUHPHR,ANUH PHARMA LIMITED,NSE_EQ|INE489G01022,exact
BORANA,BORANA,BORANA WEAVES LIMITED,NSE_EQ|INE16SF01016,exact
SYSTMTXC,SYSTMTXC,SYSTEMATIX CORP SERVICE L,NSE_EQ|INE356B01024,exact
VIKRAMSOLR,VIKRAMSOLR,VIKRAM SOLAR LIMITED,NSE_EQ|INE078V01014,exact
RMDRIP,RMDRIP,R M DRIP & SPRINK SYS LTD,NSE_EQ|INE219Y01026,exact
SAMBHV,SAMBHV,SAMBHV STEEL TUBES LTD,NSE_EQ|INE12NJ01018,exact
GCSL,GCSL,GRETEX CORPORATE SERVICES,NSE_EQ|INE199P01028,exact
ARSSBL,ARSSBL,ANAND RATHI SH N STK BR L,NSE_EQ|INE549H01021,exact
CEWATER,CEWATER,CONCORD ENVIRO SYSTEMS L,NSE_EQ|INE037Z01029,exact
REGAAL,REGAAL,REGAAL RESOURCES LIMITED,NSE_EQ|INE0MHO01029,exact
JARO,JARO,JARO INS OF TEC MG N RE L,NSE_EQ|INE00YJ01010,exact
AEGISVOPAK,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,NSE_EQ|INE0INX01018,exact
NATCAPSUQ,NATCAPSUQ,NATURAL CAPSULES LIMITED,NSE_EQ|INE936B01015,exact
THELEELA,THELEELA,SCHLOSS BANGALORE LIMITED,NSE_EQ|INE0AQ201015,exact
BMWVENTLTD,BMWVENTLTD,BMW VENTURES LIMITED,NSE_EQ|INE965W01036,exact
BELRISE,BELRISE,BELRISE INDUSTRIES LTD,NSE_EQ|INE894V01022,exact
ABINFRA,ABINFRA,A B INFRABUILD LIMITED,NSE_EQ|INE00YB01017,exact
NAVKARURB,NAVKARURB,NAVKAR URBANSTRUCTURE LTD,NSE_EQ|INE268H01044,exact
RACLGEAR,RACLGEAR,RACL GEARTECH LIMITED,NSE_EQ|INE704B01017,exact
AVL,AVL,ADITYA VISION LIMITED,NSE_EQ|INE679V01027,exact
ENRIN,ENRIN,SIEMENS ENERGY INDIA LTD,NSE_EQ|INE1NPP01017,exact
MAMATA,MAMATA,MAMATA MACHINERY LIMITED,NSE_EQ|INE0TO701015,exact
CPEDU,CPEDU,CAREER POINT EDUTECH LTD,NSE_EQ|INE0P6P01016,exact
CURAA,CURAA,CURA TECHNOLOGIES LIMITED,NSE_EQ|INE117B01020,exact
BRIGHOTEL,BRIGHOTEL,BRIGADE HOTEL VENTURE LTD,NSE_EQ|INE03NU01014,exact
MCLOUD,MCLOUD,MAGELLANIC CLOUD LIMITED,NSE_EQ|INE613C01026,exact
CHEMBONDCH,CHEMBONDCH,CHEMBOND CHEMICAL LIMITED,NSE_EQ|INE0TGX01019,exact
EUROPRATIK,EUROPRATIK,EURO PRATIK SALES LIMITED,NSE_EQ|INE198501012,exact
BAJAJINDEF,BAJAJINDEF,INDEF MANUFACTURING LTD,NSE_EQ|INE0O9T01021,exact
DENTA,DENTA,DENTA WATER N INFRA SOL L,NSE_EQ|INE0R4L01018,exact
AFCONS,AFCONS,AFCONS INFRASTRUCTURE LTD,NSE_EQ|INE101I01011,exact
BHARATSE,BHARATSE,BHARAT SEATS LIMITED,NSE_EQ|INE415D01024,exact
GUJTHEM,GUJTHEM,GUJARAT THEMIS BIOSYN LTD,NSE_EQ|INE942C01045,exact
IKS,IKS,INVENTURUS KNOWLEDGE SO L,NSE_EQ|INE115Q01022,exact
TRANSRAILL,TRANSRAILL,TRANSRAIL LIGHTING LTD,NSE_EQ|INE454P01035,exact
NTPCGREEN,NTPCGREEN,NTPC GREEN ENERGY LIMITED,NSE_EQ|INE0ONG01011,exact
SRD,SRD,SHANKAR LAL RAMPAL LTD,NSE_EQ|INE01NE01012,exact
DIGITIDE,DIGITIDE,DIGITIDE SOLUTIONS LTD,NSE_EQ|INE0U4701011,exact
RNBDENIMS,RNBDENIMS,R&B DENIMS LIMITED,NSE_EQ|INE012Q01021,exact
BLUESTONE,BLUESTONE,BLUESTONE JEWEL LFSTL LTD,NSE_EQ|INE304W01038,exact
INNOVANA,INNOVANA,INNOVANA THINKLABS LTD,NSE_EQ|INE403Y01018,exact
SUPREME,SUPREME,SUPREME HOLDIN N HOSP I L,NSE_EQ|INE822E01011,exact
SMARTWORKS,SMARTWORKS,SMARTWORKS COWORKING SP L,NSE_EQ|INE0NAZ01010,exact
AFFORDABLE,AFFORDABLE,AFFORD ROBO & AUTO LTD,NSE_EQ|INE692Z01013,exact
AJAXENGG,AJAXENGG,AJAX ENGINEERING LIMITED,NSE_EQ|INE274Y01021,exact
ATLANTAELE,ATLANTAELE,ATLANTA ELECTRICALS LTD,NSE_EQ|INE0Z4F01028,exact
ABLBL,ABLBL,ADITYA BIRLA LIFES BRAN L,NSE_EQ|INE14LE01019,exact
ISHANCH,ISHANCH,ISHAN DYES N CHEMICALS L,NSE_EQ|INE561M01018,exact
JAINREC,JAINREC,JAIN RESOURCE RECYCLING L,NSE_EQ|INE0YD401026,exact
SENORES,SENORES,SENORES PHARMACEUTICALS L,NSE_EQ|INE0RB801010,exact
DEVX,DEVX,DEV ACCELERATOR LIMITED,NSE_EQ|INE0VOV01021,exact
ARFIN,ARFIN,ARFIN INDIA LIMITED,NSE_EQ|INE784R01023,exact
SAATVIKGL,SAATVIKGL,SAATVIK GREEN ENERGY LTD,NSE_EQ|INE13B501022,exact
PICCADIL,PICCADIL,PICCADILY AGRO INDUSTRI L,NSE_EQ|INE546C01010,exact
PROSTARM,PROSTARM,PROSTARM INFO SYSTEMS LTD,NSE_EQ|INE0BX301013,exact
RAJOOENG,RAJOOENG,RAJOO ENGINEERS LIMITED,NSE_EQ|INE535F01024,exact
HILINFRA,HILINFRA,HIGHWAY INFRASTRUCTURE L,NSE_EQ|INE00RL01028,exact
RHETAN,RHETAN,RHETAN TMT LIMITED,NSE_EQ|INE0KKN01029,exact
SGLTL,SGLTL,STANDARD GLASS LIN TECH L,NSE_EQ|INE0M4D01010,exact
SGMART,SGMART,SG MART LIMITED,NSE_EQ|INE385F01024,exact
TINNARUBR,TINNARUBR,TINNA RUBBER AND INFR LTD,NSE_EQ|INE015C01016,exact
SAILIFE,SAILIFE,SAI LIFE SCIENCES LIMITED,NSE_EQ|INE570L01029,exact
MASTERTR,MASTERTR,MASTER TRUST LIMITED,NSE_EQ|INE677D01037,exact
IVALUE,IVALUE,IVALUE INFOSOLUTIONS LTD,NSE_EQ|INE056801025,exact
QPOWER,QPOWER,QUALITY POWER ELEC EQUP L,NSE_EQ|INE0SII01026,exact
SPECTRUM,SPECTRUM,SPECTRUM ELECTRIC IND LTD,NSE_EQ|INE01EO01010,exact
ROSSTECH,ROSSTECH,ROSSELL TECHSYS LIMITED,NSE_EQ|INE0OJW01016,exact
VENTIVE,VENTIVE,VENTIVE HOSPITALITY LTD,NSE_EQ|INE781S01027,exact
VINCOFE,VINCOFE,VINTAGE COFFEE N BVRGS L,NSE_EQ|INE498Q01014,exact
EBGNG,EBGNG,GNG ELECTRONICS LIMITED,NSE_EQ|INE18JU01028,exact
PROTEAN,PROTEAN,PROTEAN EGOV TECHNO LTD,NSE_EQ|INE004A01022,exact
PATELRMART,PATELRMART,PATEL RETAIL LIMITED,NSE_EQ|INE0R8B01010,exact
GEMAROMA,GEMAROMA,GEM AROMATICS LIMITED,NSE_EQ|INE06XZ01023,exact
ORCHASP,ORCHASP,ORCHASP LIMITED,NSE_EQ|INE215B01022,exact
PRABHA,PRABHA,PRABHA ENERGY LIMITED,NSE_EQ|INE0I0M01023,exact
NPST,NPST,NETWORK PEOPLE SRV TECH L,NSE_EQ|INE0FFK01017,exact
GANESHCP,GANESHCP,GANESH CONSUMER PRODUCT L,NSE_EQ|INE652V01016,exact
EFCIL,EFCIL,EFC (I) LIMITED,NSE_EQ|INE886D01026,exact
LLOYDSENT,LLOYDSENT,LLOYDS ENTERPRISES LTD,NSE_EQ|INE080I01025,exact
BLACKBUCK,BLACKBUCK,BLACKBUCK LIMITED,NSE_EQ|INE0UIZ01018,exact
HEXT,HEXT,HEXAWARE TECHNOLOGIES LTD,NSE_EQ|INE093A01041,exact
MOBIKWIK,MOBIKWIK,ONE MOBIKWIK SYSTEMS LTD,NSE_EQ|INE0HLU01028,exact
SHREEJISPG,SHREEJISPG,SHREEJI SHIPPING GLOBAL L,NSE_EQ|INE1B6101010,exact
ALLTIME,ALLTIME,ALL TIME PLASTICS LIMITED,NSE_EQ|INE0GV601021,exact
MBEL,MBEL,M AND B ENGINEERING LTD,NSE_EQ|INE08N601015,exact
CPPLUS,CPPLUS,ADITYA INFOTECH LIMITED,NSE_EQ|INE819V01029,exact
SGFIN,SGFIN,SG FINSERVE LIMITED,NSE_EQ|INE618R01015,exact
STYL,STYL,SESHAASAI TECHNOLOGIES L,NSE_EQ|INE04VU01023,exact
NIBE,NIBE,NIBE LIMITED,NSE_EQ|INE149O01018,exact
ELLEN,ELLEN,ELLENBARRIE INDUS GASES L,NSE_EQ|INE236E01022,exact
HDBFS,HDBFS,HDB FINANCIAL SERVICES L,NSE_EQ|INE756I01012,exact
LAXMIINDIA,LAXMIINDIA,LAXMI INDIA FINANCE LTD,NSE_EQ|INE06WU01026,exact
VMSTMT,VMSTMT,VMS TMT LIMITED,NSE_EQ|INE0SJA01013,exact
